parent_asin,title,description
B00K7BMELK,Just Escape,"[""Just Escape, whether it's a medieval castle or an abandoned space station you'll need to solve puzzles and find clues to unlock the door and Just Escape.""]"
B008BIN9EW,UniWar,"['5+ millions of games played and counting.""...it’s impossible to pass up if you’re even remotely interested in turn based strategy games."" - TouchArcade""...I’m truly in awe of everything that has been captured and neatly packaged in UniWar..."" - AppCraver - 10/10""...It’s probably the best strategy game on the iPhone ..."" - PixelatedGeekUniWar™ is a classic multiplayer turn-based strategy game with an online community. Players take turns building their army and fighting against each other. It is like chess with multiple races and boards where terrain affects attack and mobility of units.']"
B008CFVG58,Garfield's Diner,"[""It's summertime and Irma's off to Hawaii for a well-deserved vacation. But who will run the diner while she's gone? Irma convinces Jon to take over for the summer, but it’s Garfield who’s really in charge! Everyone’s favorite fat cat is in the kitchen and laughter's on the menu! Join Garfield and his friends as they do their very best (or worst) to run Irma's diner and serve savory signature meals to her regular customers -- fresh, hot and fast…daily! Features: [1] Cute and colorful Garfield characters in motion [2] Upgradeable diner items and staff for a more efficient diner operations [3] Special surprise guests might visit your diner at random times. Watch for them! [4] Collect your favorite Garfield cards as you run your dinner. Can you collect them all?""]"
B01GUENFQK,EarthCamTV 2,"['Looking to travel the world? Take a virtual trip via EarthCam’s global network of live cameras. This top rated travel app offers viewers a vast network of live streaming cameras to explore places all over the world. Upgrade to the All Access Pass for $4.99/year to become a programming director and create a watchlist of your favorite live webcams to stream for any time, in any order. Or choose the Premium All Access Pass for $19.99/year for all of the features plus logo free viewing. Download EarthCamTV 2 to start your own interactive virtual travel experience.']"
B07QCXD3YH,FilmRise Western,"['FilmRise Western offers FREE Western movies and TV including Hollywood classics, modern westerns, and western-themed comedy and documentaries, all absolutely free.']"
B0099AQQPK,VIDEO POKER! - Video Poker Games FREE,['Video Poker Games Free! - JACKS OR BETTER and DEUCES WILD in the same great app! Get the Best Free Video Poker Games for Kindle Fire! Now with Slots! PLAY FOR FREE!']
B01E9I4VQC,"Adventure Escape: Space Crisis (Science Fiction Mystery, Survival Story, Room, Doors, and Floors Puzzle!)","['Disaster strikes on a routine space mission! Can you escape and return to Earth?Commander Morgan is in charge of delivering supplies to the Alliance space station. She arrives and discovers no one on the station is responding to her calls. Can you solve the mystery of the missing crew? Investigate the space station, search for survivors, and complete puzzles in order to return home!Join millions of happy Adventure Escape players and see if you can survive the Space Crisis!Play this premium escape game!- Beautiful graphics bring the futuristic space station to life!- Explore the space station and discover the mystery of the missing crew.- Unique challenges: go on a spacewalk, use a mechanical arm, and build a jetpack!- Solve devious puzzles and riddles!- Get the whole game for FREE! You’re never forced to pay!- Gather tools and items to help you survive!- Memorable characters!Save the station and return home in Adventure Escape: Space Crisis!']"
B0784CXQ5T,Word Connect,"['��Do you enjoy the excitement and fun of relaxing classic word games? Are you a real word game master? DOWNLOAD Word Connect for FREE! Take on a new challenge and start your word story. Begin your word adventure and enjoy a good brainstorm NOW! ��Simply swipe the letter blocks and build words to collect coins! Find clues to solve the crossword puzzles! DOWNLOAD Word Connect NOW to begin challenging your brain and become a word master!It’s time to uncover hidden words and build as many words as possible! Play this free word guessing puzzle game and begin your word story! Guess the words, link the letters, and solve the anagrams!What makes Word Connect so special?• Authoritative Dictionaries! The game is powered by Oxford Dictionaries. Play word puzzles daily to relax and improve your vocabulary!• Addictive gameplay! Simply swipe letters to build words! • Tons of words! 21604 total levels await!• Play it your way! You can choose between normal mode, crossword mode, and daily challenges! Come and solve different puzzles!• Join a team! Participate in the Team Tournament to win rewards with your teammates! Compete with other teams from all over the world!• Daily Bonuses! Log in every day to play exciting daily puzzles to collect big rewards! Note that you can always use the level list to go back to previous daily puzzles from the past three months, so don\'t be afraid to miss out! You can also get coins and event rewards from finding words in previous daily challenges!• Alternative Themes! Up to 11 cool themes for you to choose from!• Vintage Style! Our wood-themed graphics will bring back nostalgic childhood memories!• Bonus Words! Extra words are waiting to be discovered! Find extra words to collect bonus rewards! Bonus words are words that can be spelled with the letter wheel but are not in the puzzle. Find hidden bonus words in the letter scramble to fill the Prize Box! Feel free to take a guess! The more bonus words you find, the more coins you will earn!• Play Together! Ask your family members and friends for help to solve the puzzles and send coins to each other via Facebook! When you get stuck on a word, tap ""Get Help"" to send your word puzzle screenshot to friends for help.• No time limits! You can use your time wisely to search and find new words at your own pace!• Level List! Want to check previous levels? Go back to the Level List and play the letter scramble again! • Offline Mode! No wifi? Don’t worry, you can play Word Connect anytime, anywhere even without a network connection!• Multiple Choices! Supported on both phone and tablet.• Use Boosters! Use boosters to help you search for the right words! Love Wordle? If you enjoy relaxing word games to guess and search for vocab and anagrams, or other word puzzle games, you\'ll love Word Connect!Play Word Connect now, find and connect letters, guess words, and find anagrams to relax and ease your mind! This game is also a fun tool to exercise your brain, improve your word searching ability, and develop your writing skills. To solve our puzzles and word riddles, you\'ll need smart strategies: guessing words, re-organizing letters, and connecting them until you find all the hidden words. This will improve your vocabulary and knowledge.Word Connect is an app designed to train your brain to learn new words all while having a great time. Share the fun with your family & friends and enjoy Word Connect together!This year, we are going to have a series of updates to bring you an even better gaming experience! Get ready for the new era of Word Connect and enjoy your own word story!Join our official Facebook group to chat with other players at: https://www.facebook.com/wordconnectgame/groups']"
B00DUVQIIY,Hidden Objects: The Mystery Guardians,"['""The Mystery Guardians"" is a must-have for all the Hidden Object lovers!Forget all the point and click adventure and dive right into the mysterious world of Hidden Object!Find all unique objects in 30 beautifully crafted levels.3 different but equally fun game modes! Try all of them and challenge your Hidden Object skills!3 find styles: traditional word style, kid friendly picture style and challenging silhouette style! See if you are find them all!Download ""The Mystery Guardians"" NOW to explore and unlock the full adventure inside!']"
B00LIGN0F2,Jewel Quest,['The classic match-3 puzzle game. Solve 25 challenging Jewel Quest puzzles by swapping adjacent gems to match three of a kind. Turn every tile on the jewel board to gold to beat each level and complete the quest!This app requires an Internet connection and the developer can change the content of the app at any time.']
